;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
10;Transitioning patients with advanced chronic kidney disease to home or facility dialysis: understanding the experience and quality of life for patients and their caregivers (TRANSIT-CARE);RDF30;Medical, health and life sciences;0.7244164943695068;RDF50;Social sciences;0.07928348332643509;RDF20-21;Engineering and technology;0.0621282160282135;RDF10;Natural sciences;0.054491255432367325;RDF40;Agricultural and veterinary sciences;0.03999779373407364;RDF60;Humanities and the arts;0.03968271240592003
11;Tenrikyo and the Rise and Fall of New Religions in Japan;RDF50;Social sciences;0.2932795286178589;RDF10;Natural sciences;0.17485672235488892;RDF40;Agricultural and veterinary sciences;0.1479794979095459;RDF30;Medical, health and life sciences;0.13856543600559235;RDF60;Humanities and the arts;0.13685232400894165;RDF20-21;Engineering and technology;0.1084664836525917
12;Systems biology of size control in eukaryotes;RDF10;Natural sciences;0.7432166337966919;RDF30;Medical, health and life sciences;0.10611424595117569;RDF50;Social sciences;0.04616300389170647;RDF20-21;Engineering and technology;0.041142787784338;RDF40;Agricultural and veterinary sciences;0.033775560557842255;RDF60;Humanities and the arts;0.029587706550955772
13;Drop-based microfluidics (DBM) for single cell studies and ultrahigh-throughput phenotypic screens and lab evolution;RDF20-21;Engineering and technology;0.43410301208496094;RDF30;Medical, health and life sciences;0.3142123520374298;RDF10;Natural sciences;0.10634921491146088;RDF40;Agricultural and veterinary sciences;0.05427497625350952;RDF50;Social sciences;0.04793364182114601;RDF60;Humanities and the arts;0.04312678799033165
14;Neural repair in glaucoma: the role of insulin signaling;RDF30;Medical, health and life sciences;0.832887589931488;RDF20-21;Engineering and technology;0.07598206400871277;RDF10;Natural sciences;0.05042194575071335;RDF50;Social sciences;0.018361305817961693;RDF60;Humanities and the arts;0.0114763667806983;RDF40;Agricultural and veterinary sciences;0.010870820842683315
15;Impacts des mesures de protection contre la COVID-19 sur la communication des personnes malentendantes;RDF30;Medical, health and life sciences;0.4259275794029236;RDF20-21;Engineering and technology;0.2552458643913269;RDF50;Social sciences;0.12551581859588623;RDF40;Agricultural and veterinary sciences;0.06950527429580688;RDF60;Humanities and the arts;0.06338348239660263;RDF10;Natural sciences;0.060421980917453766
16;Mixité sociale et scolaire en classe : perception des exigences professionnelles des étudiant·e·s en formation à l'enseignement au Québec et en Suisse;RDF50;Social sciences;0.5348783135414124;RDF20-21;Engineering and technology;0.2562156915664673;RDF60;Humanities and the arts;0.06725354492664337;RDF30;Medical, health and life sciences;0.06234782934188843;RDF40;Agricultural and veterinary sciences;0.04120698571205139;RDF10;Natural sciences;0.03809766471385956
17;Discharges at/near gas-liquid and liquid-liquid interfaces: fundamental investigation and application in liquid processing and nanomaterial synthesis;RDF20-21;Engineering and technology;0.735046923160553;RDF10;Natural sciences;0.09259189665317535;RDF50;Social sciences;0.06111442297697067;RDF60;Humanities and the arts;0.04313281923532486;RDF40;Agricultural and veterinary sciences;0.034769874066114426;RDF30;Medical, health and life sciences;0.03334399312734604
18;Fully-Lagrangian three-dimensional modelling of river ice jam initiation;RDF20-21;Engineering and technology;0.4305732846260071;RDF10;Natural sciences;0.33231836557388306;RDF60;Humanities and the arts;0.08018346130847931;RDF50;Social sciences;0.07931916415691376;RDF30;Medical, health and life sciences;0.03901408240199089;RDF40;Agricultural and veterinary sciences;0.0385916642844677
19;Juger l'homosexualité, attribuer l'asile: le traitement des demandes d'asile OSIG au Canada;RDF50;Social sciences;0.30774253606796265;RDF60;Humanities and the arts;0.15524473786354065;RDF30;Medical, health and life sciences;0.1498403251171112;RDF40;Agricultural and veterinary sciences;0.13904082775115967;RDF10;Natural sciences;0.12823204696178436;RDF20-21;Engineering and technology;0.11989947408437729
20;Intentions or affect: Which is a key driver of physical activity? Using ecological momentary assessment to understand the intention-behaviour gap in schizophrenia spectrum disorders;RDF30;Medical, health and life sciences;0.39218226075172424;RDF10;Natural sciences;0.2046070247888565;RDF50;Social sciences;0.15589496493339539;RDF20-21;Engineering and technology;0.09861085563898087;RDF40;Agricultural and veterinary sciences;0.08156932890415192;RDF60;Humanities and the arts;0.06713546812534332
21;Biophysical and genetic control of root growth;RDF20-21;Engineering and technology;0.5551735162734985;RDF10;Natural sciences;0.3696173429489136;RDF30;Medical, health and life sciences;0.027128584682941437;RDF40;Agricultural and veterinary sciences;0.024128662422299385;RDF50;Social sciences;0.015108139254152775;RDF60;Humanities and the arts;0.008843743242323399
22;Open-source numerical strategy for the analysis and redesign of turbomachine blades accounting for nonlinear structural interactions;RDF20-21;Engineering and technology;0.8662151098251343;RDF10;Natural sciences;0.04960950091481209;RDF50;Social sciences;0.036955464631319046;RDF60;Humanities and the arts;0.02430885285139084;RDF30;Medical, health and life sciences;0.011818856000900269;RDF40;Agricultural and veterinary sciences;0.01109219342470169
23;Application of Boltzmann Transport Equation solutions to nuclear reactor physics and radiotherapy applications;RDF20-21;Engineering and technology;0.6588935256004333;RDF30;Medical, health and life sciences;0.1285601109266281;RDF10;Natural sciences;0.10239986330270767;RDF50;Social sciences;0.04339126497507095;RDF40;Agricultural and veterinary sciences;0.034409958869218826;RDF60;Humanities and the arts;0.03234517574310303
24;La théorie des graphes : analyse structurelle, algorithmique et applications dans les sciences de l'ingénieur;RDF20-21;Engineering and technology;0.8439124822616577;RDF40;Agricultural and veterinary sciences;0.05427676811814308;RDF10;Natural sciences;0.04278937354683876;RDF30;Medical, health and life sciences;0.022679423913359642;RDF60;Humanities and the arts;0.021618099883198738;RDF50;Social sciences;0.01472383551299572
25;Interdisciplinary Canadian Collaborative ME Research Network;RDF30;Medical, health and life sciences;0.7343049645423889;RDF20-21;Engineering and technology;0.09068123996257782;RDF60;Humanities and the arts;0.0843685194849968;RDF50;Social sciences;0.033770281821489334;RDF10;Natural sciences;0.030967239290475845;RDF40;Agricultural and veterinary sciences;0.02590775117278099
26;La nouvelle politique de la redistribution;RDF50;Social sciences;0.29795533418655396;RDF30;Medical, health and life sciences;0.20727476477622986;RDF60;Humanities and the arts;0.15090058743953705;RDF10;Natural sciences;0.1291891634464264;RDF40;Agricultural and veterinary sciences;0.12219077348709106;RDF20-21;Engineering and technology;0.09248944371938705
27;Extracellular vesicles and their miR cargo to enhance ischemia-induced neovascularization in peripheral artery disease;RDF30;Medical, health and life sciences;0.4883895516395569;RDF20-21;Engineering and technology;0.2323083132505417;RDF10;Natural sciences;0.10073786973953247;RDF50;Social sciences;0.08337249606847763;RDF60;Humanities and the arts;0.056246716529130936;RDF40;Agricultural and veterinary sciences;0.03894507884979248
28;Low-Dimensional Organic Materials for Energy, Electronic and Environment Applications;RDF20-21;Engineering and technology;0.8536017537117004;RDF10;Natural sciences;0.04398280009627342;RDF50;Social sciences;0.035745080560445786;RDF40;Agricultural and veterinary sciences;0.023144841194152832;RDF30;Medical, health and life sciences;0.022651609033346176;RDF60;Humanities and the arts;0.020873848348855972
29;Histone protein supply and demand: life on a knife's edge;RDF30;Medical, health and life sciences;0.3251323699951172;RDF10;Natural sciences;0.2567753493785858;RDF40;Agricultural and veterinary sciences;0.14625632762908936;RDF50;Social sciences;0.12902379035949707;RDF60;Humanities and the arts;0.07409888505935669;RDF20-21;Engineering and technology;0.06871327757835388
30;Bayesian deep-learning prediction with sparse graphs;RDF20-21;Engineering and technology;0.20489996671676636;RDF50;Social sciences;0.19785231351852417;RDF30;Medical, health and life sciences;0.19112670421600342;RDF10;Natural sciences;0.15981237590312958;RDF60;Humanities and the arts;0.15024299919605255;RDF40;Agricultural and veterinary sciences;0.09606564044952393
31;At the Edge of Soft Power: French Saint-Simonians and Nineteenth-Century Visions of Development;RDF60;Humanities and the arts;0.30653002858161926;RDF50;Social sciences;0.2755919098854065;RDF30;Medical, health and life sciences;0.11552388966083527;RDF20-21;Engineering and technology;0.11154567450284958;RDF10;Natural sciences;0.10073871165513992;RDF40;Agricultural and veterinary sciences;0.09006982296705246
32;Random walks on random graphs in high dimensions;RDF10;Natural sciences;0.30590012669563293;RDF60;Humanities and the arts;0.16310693323612213;RDF20-21;Engineering and technology;0.15262097120285034;RDF30;Medical, health and life sciences;0.149015411734581;RDF50;Social sciences;0.13910654187202454;RDF40;Agricultural and veterinary sciences;0.09025002270936966
33;Roles, mechanisms of action and regulation of Hippo signaling in the testis;RDF30;Medical, health and life sciences;0.5535205602645874;RDF10;Natural sciences;0.2605534493923187;RDF50;Social sciences;0.0637408047914505;RDF20-21;Engineering and technology;0.052515752613544464;RDF60;Humanities and the arts;0.03699255734682083;RDF40;Agricultural and veterinary sciences;0.03267686441540718
34;The role of the TGFB-SOX9 signaling pathway in brain angiogenesis;RDF30;Medical, health and life sciences;0.4836050271987915;RDF10;Natural sciences;0.1907462775707245;RDF50;Social sciences;0.11862851679325104;RDF20-21;Engineering and technology;0.09464382380247116;RDF60;Humanities and the arts;0.06906581670045853;RDF40;Agricultural and veterinary sciences;0.04331054538488388
35;A randomized controlled trial comparing Virtual Reality Therapy to Supportive Therapy to reduce cannabis use in patients with psychotic disorders;RDF30;Medical, health and life sciences;0.5279472470283508;RDF20-21;Engineering and technology;0.2365030199289322;RDF10;Natural sciences;0.080880306661129;RDF50;Social sciences;0.07526625692844391;RDF60;Humanities and the arts;0.047656361013650894;RDF40;Agricultural and veterinary sciences;0.03174678981304169
36;Le contrat didactique en sciences humaines au primaire : mieux comprendre les pratiques enseignantes et leurs effets sur l'apprentissage;RDF60;Humanities and the arts;0.7832566499710083;RDF20-21;Engineering and technology;0.07874981313943863;RDF30;Medical, health and life sciences;0.047807443886995316;RDF10;Natural sciences;0.040322985500097275;RDF50;Social sciences;0.025798754766583443;RDF40;Agricultural and veterinary sciences;0.024064386263489723
37;Impact of insects by-products and phytogenics on the piglet's intestinal health;RDF10;Natural sciences;0.3663610816001892;RDF40;Agricultural and veterinary sciences;0.3094214200973511;RDF30;Medical, health and life sciences;0.19771049916744232;RDF50;Social sciences;0.06912095099687576;RDF60;Humanities and the arts;0.030810365453362465;RDF20-21;Engineering and technology;0.026575680822134018
38;Response of the continental water cycle to greenhouse warming: evaluating, understanding and constraining Earth System Model projections;RDF10;Natural sciences;0.6450334787368774;RDF50;Social sciences;0.11592976748943329;RDF20-21;Engineering and technology;0.09113183617591858;RDF60;Humanities and the arts;0.05346319451928139;RDF40;Agricultural and veterinary sciences;0.049575548619031906;RDF30;Medical, health and life sciences;0.04486610367894173
39;Why Do Green Products Suffer from Low Consumer Preference? An Explanation Based on Ease of Benefit Visualization and Price Fairness Perceptions;RDF50;Social sciences;0.39425960183143616;RDF10;Natural sciences;0.2154320925474167;RDF30;Medical, health and life sciences;0.15511757135391235;RDF20-21;Engineering and technology;0.10329974442720413;RDF40;Agricultural and veterinary sciences;0.07397139072418213;RDF60;Humanities and the arts;0.05791957676410675
40;Architecture comme tissu spatial et social: perspectives japonaises pour promouvoir les relations multi échelles;RDF50;Social sciences;0.3841739892959595;RDF20-21;Engineering and technology;0.1936376392841339;RDF10;Natural sciences;0.1253429353237152;RDF60;Humanities and the arts;0.11918745934963226;RDF30;Medical, health and life sciences;0.08905933052301407;RDF40;Agricultural and veterinary sciences;0.08859864622354507
41;Femmes mémorialistes sous l'Ancien Régime (XVIe-XVIIIe siècles);RDF60;Humanities and the arts;0.4187392592430115;RDF30;Medical, health and life sciences;0.3757513761520386;RDF50;Social sciences;0.06643854826688766;RDF10;Natural sciences;0.05587495118379593;RDF40;Agricultural and veterinary sciences;0.04281092435121536;RDF20-21;Engineering and technology;0.040384985506534576
42;Répit Une Heure pour Moi : Ethnographie ciblée d'un programme de soutien familial à domicile pour les familles dont un enfant a des problèmes de santé mentale;RDF60;Humanities and the arts;0.5889626741409302;RDF30;Medical, health and life sciences;0.19005218148231506;RDF10;Natural sciences;0.13019894063472748;RDF40;Agricultural and veterinary sciences;0.04326150566339493;RDF50;Social sciences;0.031722862273454666;RDF20-21;Engineering and technology;0.015801839530467987
43;The ethical challenges of Artificial Intelligence for start-ups;RDF20-21;Engineering and technology;0.4672871232032776;RDF50;Social sciences;0.15647150576114655;RDF10;Natural sciences;0.11478741466999054;RDF30;Medical, health and life sciences;0.1082535833120346;RDF60;Humanities and the arts;0.08688447624444962;RDF40;Agricultural and veterinary sciences;0.06631588935852051
44;Integrating impacts from marine plastics in Life Cycle Assessment;RDF10;Natural sciences;0.2709105908870697;RDF50;Social sciences;0.2230297327041626;RDF30;Medical, health and life sciences;0.1437252014875412;RDF20-21;Engineering and technology;0.1385323703289032;RDF60;Humanities and the arts;0.11772157996892929;RDF40;Agricultural and veterinary sciences;0.10608062148094177
45;A Semantic Parsing Approach to Open-world Knowledge Graph Question Answering;RDF20-21;Engineering and technology;0.201606884598732;RDF30;Medical, health and life sciences;0.19251643121242523;RDF10;Natural sciences;0.16504472494125366;RDF50;Social sciences;0.15583346784114838;RDF60;Humanities and the arts;0.15539665520191193;RDF40;Agricultural and veterinary sciences;0.1296018362045288
46;Appropriation et déploiement d'une approche pédagogique antiraciste chez des formateurs en sciences de la santé;RDF30;Medical, health and life sciences;0.5068126916885376;RDF10;Natural sciences;0.19443397223949432;RDF50;Social sciences;0.1388062983751297;RDF60;Humanities and the arts;0.08696097880601883;RDF40;Agricultural and veterinary sciences;0.04757013916969299;RDF20-21;Engineering and technology;0.025415975600481033
47;Pathways for the digital economy: Adolescent digital literacies and InstaPoetry;RDF20-21;Engineering and technology;0.2477908879518509;RDF60;Humanities and the arts;0.23986633121967316;RDF50;Social sciences;0.223200723528862;RDF10;Natural sciences;0.11319027096033096;RDF30;Medical, health and life sciences;0.09633512049913406;RDF40;Agricultural and veterinary sciences;0.07961671054363251
48;Les discours en matière de pauvreté dans les revues scientifiques francophones du travail social : ce qu'ils nous disent du travail social et de ses rapports à la science et à la théorie;RDF50;Social sciences;0.5168939232826233;RDF60;Humanities and the arts;0.4726458191871643;RDF20-21;Engineering and technology;0.004151601810008287;RDF10;Natural sciences;0.002416396513581276;RDF30;Medical, health and life sciences;0.002244344213977456;RDF40;Agricultural and veterinary sciences;0.0016478926409035921
49;Bilingualism and attentional processes in the age and language proficiency continuum;RDF50;Social sciences;0.24565686285495758;RDF30;Medical, health and life sciences;0.19725732505321503;RDF60;Humanities and the arts;0.1918186992406845;RDF10;Natural sciences;0.1407238095998764;RDF40;Agricultural and veterinary sciences;0.11834931373596191;RDF20-21;Engineering and technology;0.10619401931762695
50;Arts de la scène, innovations technologiques et clowns pour le renouvellement de l'opéra;RDF60;Humanities and the arts;0.6118841767311096;RDF20-21;Engineering and technology;0.25322282314300537;RDF40;Agricultural and veterinary sciences;0.03647996485233307;RDF50;Social sciences;0.034965965896844864;RDF10;Natural sciences;0.03406018018722534;RDF30;Medical, health and life sciences;0.02938682958483696
51;"""Domestic art galleries"" in Cuba, Russia, and China after 1989: a(n) (imagined) trans-socialist network";RDF60;Humanities and the arts;0.8217161893844604;RDF50;Social sciences;0.055367518216371536;RDF10;Natural sciences;0.037337470799684525;RDF20-21;Engineering and technology;0.03299258276820183;RDF40;Agricultural and veterinary sciences;0.02653302624821663;RDF30;Medical, health and life sciences;0.026053179055452347
52;Advancing the understanding of fundamental principles of motor control;RDF20-21;Engineering and technology;0.2957534193992615;RDF10;Natural sciences;0.24413776397705078;RDF50;Social sciences;0.14632973074913025;RDF30;Medical, health and life sciences;0.11675071716308594;RDF60;Humanities and the arts;0.10235228389501572;RDF40;Agricultural and veterinary sciences;0.09467605501413345
53;Impact Award: Insight;RDF60;Humanities and the arts;0.2480960339307785;RDF30;Medical, health and life sciences;0.20394344627857208;RDF20-21;Engineering and technology;0.16238722205162048;RDF50;Social sciences;0.1565794199705124;RDF10;Natural sciences;0.13114267587661743;RDF40;Agricultural and veterinary sciences;0.09785120189189911
54;New Methods for the Stereoselective Synthesis of Organic Compounds;RDF20-21;Engineering and technology;0.6616414189338684;RDF10;Natural sciences;0.16004739701747894;RDF30;Medical, health and life sciences;0.06596709787845612;RDF50;Social sciences;0.050682757049798965;RDF60;Humanities and the arts;0.033267050981521606;RDF40;Agricultural and veterinary sciences;0.02839433215558529
55;Capturer le rythme de la vie moderne : le montage rapide comme symptôme et modèle pour les sociétés du début du XXe siècle jusqu'à aujourd'hui;RDF50;Social sciences;0.4205451011657715;RDF20-21;Engineering and technology;0.24334777891635895;RDF30;Medical, health and life sciences;0.13296709954738617;RDF60;Humanities and the arts;0.08862055093050003;RDF10;Natural sciences;0.06298469007015228;RDF40;Agricultural and veterinary sciences;0.051534757018089294
56;Environnement, médias, archives : une anatomie contemporaine de la mélancolie et de la nostalgie;RDF60;Humanities and the arts;0.5734015107154846;RDF30;Medical, health and life sciences;0.2483750730752945;RDF10;Natural sciences;0.10608479380607605;RDF20-21;Engineering and technology;0.02730567753314972;RDF40;Agricultural and veterinary sciences;0.025130685418844223;RDF50;Social sciences;0.01970227062702179
57;Multimode determination of gene transcription and metabolic labeling;RDF20-21;Engineering and technology;0.4963063597679138;RDF30;Medical, health and life sciences;0.2617654800415039;RDF10;Natural sciences;0.14916835725307465;RDF50;Social sciences;0.03508814051747322;RDF40;Agricultural and veterinary sciences;0.0305156446993351;RDF60;Humanities and the arts;0.027156075462698936
58;SLAMF7 in innate immune cells and anti-cancer immunotherapy;RDF30;Medical, health and life sciences;0.8266803026199341;RDF20-21;Engineering and technology;0.04652603715658188;RDF10;Natural sciences;0.04273834452033043;RDF50;Social sciences;0.038367677479982376;RDF40;Agricultural and veterinary sciences;0.025186842307448387;RDF60;Humanities and the arts;0.020500747486948967
59;À votre service : figures ambivalentes du care dans le Roman français de 1870 à 1945;RDF30;Medical, health and life sciences;0.3311264216899872;RDF60;Humanities and the arts;0.19980673491954803;RDF20-21;Engineering and technology;0.15653711557388306;RDF40;Agricultural and veterinary sciences;0.11823887377977371;RDF50;Social sciences;0.11412231624126434;RDF10;Natural sciences;0.08016852289438248
60;Using a point-of-care electrophysiological method to study the impact of neuro-sacral function on recovery after acute spinal cord injury;RDF30;Medical, health and life sciences;0.4031868577003479;RDF20-21;Engineering and technology;0.31660234928131104;RDF10;Natural sciences;0.10965152829885483;RDF50;Social sciences;0.08517828583717346;RDF60;Humanities and the arts;0.04846331849694252;RDF40;Agricultural and veterinary sciences;0.036917608231306076
61;Local intersectoral networks and institutional transformations: how can local actors promote social innovations?;RDF50;Social sciences;0.4149739742279053;RDF30;Medical, health and life sciences;0.1563626229763031;RDF60;Humanities and the arts;0.11949589848518372;RDF10;Natural sciences;0.10437649488449097;RDF20-21;Engineering and technology;0.10408489406108856;RDF40;Agricultural and veterinary sciences;0.10070615261793137
62;Plasma biomarkers of Alzheimer's disease in insomnia before and after cognitive behavioral therapy for insomnia;RDF30;Medical, health and life sciences;0.8176946043968201;RDF10;Natural sciences;0.08103017508983612;RDF50;Social sciences;0.04180465266108513;RDF20-21;Engineering and technology;0.02442810870707035;RDF40;Agricultural and veterinary sciences;0.01974203996360302;RDF60;Humanities and the arts;0.015300418250262737
63;Developing algorithm aided fabrication methods for polyhedral structures;RDF20-21;Engineering and technology;0.8559236526489258;RDF10;Natural sciences;0.045574259012937546;RDF50;Social sciences;0.03122701868414879;RDF30;Medical, health and life sciences;0.028475461527705193;RDF60;Humanities and the arts;0.0209351796656847;RDF40;Agricultural and veterinary sciences;0.017864439636468887
64;SARS-CoV-2 Spike conformation: impact on Fc-mediated effector functions;RDF20-21;Engineering and technology;0.3370896875858307;RDF30;Medical, health and life sciences;0.18983803689479828;RDF10;Natural sciences;0.17061932384967804;RDF50;Social sciences;0.14557136595249176;RDF40;Agricultural and veterinary sciences;0.08418557047843933;RDF60;Humanities and the arts;0.07269594818353653
65;Questions in number theory;RDF10;Natural sciences;0.32836008071899414;RDF50;Social sciences;0.18226605653762817;RDF60;Humanities and the arts;0.1335921436548233;RDF20-21;Engineering and technology;0.12151452898979187;RDF40;Agricultural and veterinary sciences;0.11737345904111862;RDF30;Medical, health and life sciences;0.11689382046461105
66;The mammalian target of rapamycin provides the female rodent heart sex-dependent resistance to ischemic damage;RDF30;Medical, health and life sciences;0.4043407738208771;RDF20-21;Engineering and technology;0.287468284368515;RDF10;Natural sciences;0.12975375354290009;RDF50;Social sciences;0.07609570771455765;RDF40;Agricultural and veterinary sciences;0.05523534491658211;RDF60;Humanities and the arts;0.04710613191127777
67;The CAnadian Mother-ChIld COLlaborative Training Platform - The CAMCCO-L Training Platform;RDF20-21;Engineering and technology;0.2746495008468628;RDF30;Medical, health and life sciences;0.18688227236270905;RDF60;Humanities and the arts;0.15046881139278412;RDF10;Natural sciences;0.14370663464069366;RDF50;Social sciences;0.135121151804924;RDF40;Agricultural and veterinary sciences;0.10917168110609055
68;Life course body fatness and physical activity, and ovarian cancer etiology;RDF30;Medical, health and life sciences;0.9112517237663269;RDF10;Natural sciences;0.02597053349018097;RDF50;Social sciences;0.024265918880701065;RDF40;Agricultural and veterinary sciences;0.013538996689021587;RDF60;Humanities and the arts;0.012637087143957615;RDF20-21;Engineering and technology;0.012335767038166523
69;Modeling cue-triggered relapse to cocaine use in rats;RDF10;Natural sciences;0.40430018305778503;RDF50;Social sciences;0.17650508880615234;RDF20-21;Engineering and technology;0.1656552404165268;RDF30;Medical, health and life sciences;0.11787515133619308;RDF40;Agricultural and veterinary sciences;0.10768847167491913;RDF60;Humanities and the arts;0.027975918725132942
70;Exploring emotional underpinnings of audit work amidst the rise of the digital age;RDF50;Social sciences;0.25289109349250793;RDF20-21;Engineering and technology;0.19908614456653595;RDF60;Humanities and the arts;0.19086915254592896;RDF10;Natural sciences;0.1508582979440689;RDF30;Medical, health and life sciences;0.11534656584262848;RDF40;Agricultural and veterinary sciences;0.09094874560832977
71;Moving towards culturally safe services for Indigenous people in forensic mental health: A Partnership Development Programme;RDF50;Social sciences;0.27418115735054016;RDF30;Medical, health and life sciences;0.23546674847602844;RDF10;Natural sciences;0.1571439802646637;RDF60;Humanities and the arts;0.13890770077705383;RDF20-21;Engineering and technology;0.11258318275213242;RDF40;Agricultural and veterinary sciences;0.08171722292900085
72;Development of functional language brain networks: a multimodal neuroimaging approach;RDF20-21;Engineering and technology;0.4354586601257324;RDF30;Medical, health and life sciences;0.2034069299697876;RDF60;Humanities and the arts;0.12306580692529678;RDF10;Natural sciences;0.10359741002321243;RDF50;Social sciences;0.10145984590053558;RDF40;Agricultural and veterinary sciences;0.033011335879564285
73;Une deuxième peau à vif: vêtement, genre et violence dans la Bible hébraïque;RDF40;Agricultural and veterinary sciences;0.22726595401763916;RDF30;Medical, health and life sciences;0.19651298224925995;RDF60;Humanities and the arts;0.15523500740528107;RDF10;Natural sciences;0.15459954738616943;RDF50;Social sciences;0.15443430840969086;RDF20-21;Engineering and technology;0.11195218563079834
74;Social Innovation through Participatory Art and Design with Youth at the Margins - Solutions for Engaging and Empowering Youth with Trans-Atlantic Mirroring;RDF60;Humanities and the arts;0.7117603421211243;RDF50;Social sciences;0.21809141337871552;RDF10;Natural sciences;0.02081941068172455;RDF30;Medical, health and life sciences;0.017238343134522438;RDF20-21;Engineering and technology;0.016308870166540146;RDF40;Agricultural and veterinary sciences;0.01578160561621189
75;Assessment of renal function in adults born preterm: The HAPI-Kidney study;RDF30;Medical, health and life sciences;0.7889057993888855;RDF10;Natural sciences;0.061212461441755295;RDF20-21;Engineering and technology;0.04972587153315544;RDF50;Social sciences;0.039541084319353104;RDF40;Agricultural and veterinary sciences;0.0335858017206192;RDF60;Humanities and the arts;0.02702895738184452
76;Unveiling the Role of Cellular Aging in Postmenopausal Syndrome: Rationale for Senolytic-Based Strategies to Enhance Women's Health;RDF30;Medical, health and life sciences;0.7707284688949585;RDF10;Natural sciences;0.11231113970279694;RDF50;Social sciences;0.050981294363737106;RDF20-21;Engineering and technology;0.030145831406116486;RDF40;Agricultural and veterinary sciences;0.01925317570567131;RDF60;Humanities and the arts;0.01658009923994541
